TMAX,Binom,Obs30,Obs40,Lower,Upper,ChgBinom,ChgObs 30,ChgObs40,Sig01,Sig05
34,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
35,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
36,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
37,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
38,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
39,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
40,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
41,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
42,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
43,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
44,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
45,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
46,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
47,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
48,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
49,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
50,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
51,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
52,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
53,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
54,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
55,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
56,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
57,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
58,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
59,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
60,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
61,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
62,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
63,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
64,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
65,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
66,0,0.0005,0.0003,0.025,0.975,0,0,0,0,0
67,0,0.0008,0.0006,0.025,0.975,0,0.0003,0.0003,0,0
68,0,0.0008,0.0006,0.025,0.975,0,0,0,0,0
69,0,0.0008,0.0006,0.025,0.975,0,0,0,0,0
70,0,0.0008,0.0006,0.025,0.975,0,0,0,0,0
71,0,0.0008,0.0006,0.025,0.975,0,0,0,0,0
72,0,0.0008,0.0006,0.025,0.975,0,0,0,0,0
73,0,0.0014,0.0013,0.025,0.975,0,0.0006,0.0007,0,0
74,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
75,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
76,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
77,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
78,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
79,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
80,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
81,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
82,0,0.0014,0.0013,0.025,0.975,0,0,0,0,0
83,0,0.0016,0.0016,0.025,0.975,0,0.0002,0.0003,0,0
84,0,0.0019,0.0019,0.025,0.975,0,0.0003,0.0003,0,0
85,0,0.0019,0.0019,0.025,0.975,0,0,0,0,0
86,0,0.0022,0.0019,0.025,0.975,0,0.0003,0,0,0
87,0,0.0022,0.0019,0.025,0.975,0,0,0,0,0
88,0,0.0022,0.0019,0.025,0.975,0,0,0,0,0
89,0,0.0025,0.0022,0.025,0.975,0,0.0003,0.0003,0,0
90,0,0.0025,0.0022,0.025,0.975,0,0,0,0,0
91,0,0.0025,0.0022,0.025,0.975,0,0,0,0,0
92,0,0.0033,0.0032,0.025,0.975,0,0.0008,0.001,0,0
93,0,0.0033,0.0032,0.025,0.975,0,0,0,0,0
94,0,0.0038,0.0035,0.025,0.975,0,0.0005,0.0003,0,0
95,0,0.0038,0.0035,0.025,0.975,0,0,0,0,0
96,0,0.0047,0.0041,0.025,0.975,0,0.0009,0.0006,0,0
97,0,0.0047,0.0041,0.025,0.975,0,0,0,0,0
98,0,0.0049,0.0045,0.025,0.975,0,0.0002,0.0004,0,0
99,0,0.0052,0.0048,0.025,0.975,0,0.0003,0.0003,0,0
100,0,0.0058,0.0054,0.025,0.975,0,0.0006,0.0006,0,0
101,0,0.0069,0.0067,0.025,0.975,0,0.0011,0.0013,0,0
102,0,0.0074,0.0073,0.025,0.975,0,0.0005,0.0006,0,0
103,0,0.0077,0.0076,0.025,0.975,0,0.0003,0.0003,0,0
104,0,0.0082,0.0083,0.025,0.975,0,0.0005,0.0007,0,0
105,0,0.0088,0.0089,0.025,0.975,0,0.0006,0.0006,0,0
106,0,0.0102,0.0105,0.025,0.975,0,0.0014,0.0016,0,0
107,0,0.0104,0.0108,0.025,0.975,0,0.0002,0.0003,0,0
108,0,0.0107,0.0111,0.025,0.975,0,0.0003,0.0003,0,0
109,0,0.0112,0.0118,0.025,0.975,0,0.0005,0.0007,0,0
110,0,0.0115,0.0121,0.025,0.975,0,0.0003,0.0003,0,0
111,0,0.0121,0.0127,0.025,0.975,0,0.0006,0.0006,0,0
112,0,0.0126,0.0134,0.025,0.975,0,0.0005,0.0007,0,0
113,0,0.0129,0.0137,0.025,0.975,0,0.0003,0.0003,0,0
114,0,0.0137,0.0143,0.025,0.975,0,0.0008,0.0006,0,0
115,0,0.0143,0.015,0.025,0.975,0,0.0006,0.0007,0,0
116,0,0.0148,0.0156,0.025,0.975,0,0.0005,0.0006,0,0
117,0,0.0156,0.0162,0.025,0.975,0,0.0008,0.0006,0,0
118,0,0.0162,0.0169,0.025,0.975,0,0.0006,0.0007,0,0
119,0,0.0167,0.0175,0.025,0.975,0,0.0005,0.0006,0,0
120,0,0.0173,0.0181,0.025,0.975,0,0.0006,0.0006,0,0
121,0,0.0184,0.0194,0.025,0.975,0,0.0011,0.0013,0,0
122,0,0.0189,0.02,0.025,0.975,0,0.0005,0.0006,0,0
123,0,0.02,0.0213,0.025,0.975,0,0.0011,0.0013,0,0
124,0,0.0206,0.022,0.025,0.975,0,0.0006,0.0007,0,0
125,0,0.0214,0.0229,0.025,0.975,0,0.0008,0.0009,0,0
126,0,0.0217,0.0232,0.025,0.975,0,0.0003,0.0003,0,0
127,0,0.0228,0.0245,0.025,0.975,0,0.0011,0.0013,0,0
128,0,0.0233,0.0251,0.025,0.975,0,0.0005,0.0006,0,0
129,0,0.0241,0.0258,0.025,0.975,0,0.0008,0.0007,0,0
130,0,0.025,0.0267,0.025,0.975,0,0.0009,0.0009,0,0
131,0,0.0258,0.0277,0.025,0.975,0,0.0008,0.001,0,0
132,0,0.028,0.0293,0.025,0.975,0,0.0022,0.0016,0,0
133,0,0.0291,0.0302,0.025,0.975,0,0.0011,0.0009,0,0
134,0,0.0318,0.0334,0.025,0.975,0,0.0027,0.0032,0,0
135,0,0.0343,0.0363,0.025,0.975,0,0.0025,0.0029,0,0
136,0,0.0379,0.0401,0.025,0.975,0,0.0036,0.0038,0,0
137,0,0.0406,0.043,0.025,0.975,0,0.0027,0.0029,0,0
138,0,0.0425,0.0452,0.025,0.975,0,0.0019,0.0022,0,0
139,0,0.0453,0.0484,0.025,0.975,0,0.0028,0.0032,0,0
140,0,0.0477,0.0509,0.025,0.975,0,0.0024,0.0025,0,0
141,0,0.0494,0.0528,0.025,0.975,0,0.0017,0.0019,0,0
142,0,0.0527,0.0566,0.025,0.975,0,0.0033,0.0038,0,0
143,0,0.056,0.0605,0.025,0.975,0,0.0033,0.0039,0,0
144,0,0.0576,0.0624,0.025,0.975,0,0.0016,0.0019,0,0
145,0.0001,0.0601,0.0646,0.025,0.975,0.0001,0.0025,0.0022,0,0
146,0.0001,0.0612,0.0659,0.025,0.975,0,0.0011,0.0013,0,0
147,0.0001,0.0639,0.069,0.025,0.975,0,0.0027,0.0031,0,0
148,0.0002,0.0672,0.0722,0.025,0.975,0.0001,0.0033,0.0032,0,0
149,0.0003,0.0711,0.0767,0.025,0.975,0.0001,0.0039,0.0045,0,0
150,0.0004,0.0749,0.0805,0.025,0.975,0.0001,0.0038,0.0038,0,0
151,0.0006,0.0785,0.084,0.025,0.975,0.0002,0.0036,0.0035,0,0
152,0.0008,0.0812,0.0872,0.025,0.975,0.0002,0.0027,0.0032,0,0
153,0.0012,0.0853,0.092,0.025,0.975,0.0004,0.0041,0.0048,0,0
154,0.0017,0.0892,0.0951,0.025,0.975,0.0005,0.0039,0.0031,0,0
155,0.0023,0.0927,0.0983,0.025,0.975,0.0006,0.0035,0.0032,0,0
156,0.0032,0.0971,0.1031,0.025,0.975,0.0009,0.0044,0.0048,0,0
157,0.0044,0.1029,0.1088,0.025,0.975,0.0012,0.0058,0.0057,0,0
158,0.0059,0.1078,0.1139,0.025,0.975,0.0015,0.0049,0.0051,0,0.04
159,0.008,0.1125,0.1187,0.025,0.975,0.0021,0.0047,0.0048,0,0
160,0.0106,0.1174,0.1241,0.025,0.975,0.0026,0.0049,0.0054,0,0
161,0.0139,0.1221,0.1289,0.025,0.975,0.0033,0.0047,0.0048,0,0
162,0.0181,0.1267,0.1336,0.025,0.975,0.0042,0.0046,0.0047,0,0
163,0.0233,0.1317,0.1387,0.025,0.975,0.0052,0.005,0.0051,0.04,0
164,0.0297,0.1372,0.1444,0.025,0.975,0.0064,0.0055,0.0057,0,0
165,0.0375,0.1421,0.1492,0.025,0.975,0.0078,0.0049,0.0048,0,0
166,0.0469,0.1481,0.1553,0.025,0.975,0.0094,0.006,0.0061,0,0
167,0.0581,0.1534,0.1607,0.025,0.975,0.0112,0.0053,0.0054,0,0
168,0.0713,0.1591,0.1664,0.025,0.975,0.0132,0.0057,0.0057,0,0
169,0.0867,0.1649,0.1721,0.025,0.975,0.0154,0.0058,0.0057,0,0
170,0.1045,0.1706,0.1785,0.025,0.975,0.0178,0.0057,0.0064,0,0
171,0.1247,0.1748,0.1829,0.025,0.975,0.0202,0.0042,0.0044,0,0
172,0.1476,0.1819,0.1896,0.025,0.975,0.0229,0.0071,0.0067,0,0
173,0.1731,0.1888,0.196,0.025,0.975,0.0255,0.0069,0.0064,0,0
174,0.2012,0.197,0.2039,0.025,0.975,0.0281,0.0082,0.0079,0,0
175,0.2319,0.2038,0.2106,0.025,0.975,0.0307,0.0068,0.0067,0,0
176,0.265,0.2129,0.2186,0.025,0.975,0.0331,0.0091,0.008,0,0
177,0.3004,0.2192,0.2243,0.025,0.975,0.0354,0.0063,0.0057,0,0
178,0.3377,0.2247,0.2297,0.025,0.975,0.0373,0.0055,0.0054,0,0
179,0.3768,0.2343,0.2399,0.025,0.975,0.0391,0.0096,0.0102,0,0
180,0.4171,0.2412,0.2469,0.025,0.975,0.0403,0.0069,0.007,0,0
181,0.4583,0.2508,0.2571,0.025,0.975,0.0412,0.0096,0.0102,0,0
182,0.5,0.2593,0.2647,0.025,0.975,0.0417,0.0085,0.0076,0,0
183,0.5417,0.268,0.2743,0.025,0.975,0.0417,0.0087,0.0096,0,0
184,0.5829,0.2768,0.2832,0.025,0.975,0.0412,0.0088,0.0089,0,0
185,0.6232,0.2867,0.2934,0.025,0.975,0.0403,0.0099,0.0102,0,0
186,0.6623,0.2971,0.3042,0.025,0.975,0.0391,0.0104,0.0108,0,0
187,0.6996,0.3059,0.3121,0.025,0.975,0.0373,0.0088,0.0079,0,0
188,0.735,0.3128,0.3185,0.025,0.975,0.0354,0.0069,0.0064,0,0
189,0.7681,0.3196,0.3264,0.025,0.975,0.0331,0.0068,0.0079,0,0
190,0.7988,0.3267,0.3334,0.025,0.975,0.0307,0.0071,0.007,0,0
191,0.8269,0.3355,0.3427,0.025,0.975,0.0281,0.0088,0.0093,0,0
192,0.8524,0.3457,0.3519,0.025,0.975,0.0255,0.0102,0.0092,0,0
193,0.8753,0.3561,0.3624,0.025,0.975,0.0229,0.0104,0.0105,0,0
194,0.8955,0.3649,0.371,0.025,0.975,0.0202,0.0088,0.0086,0,0
195,0.9133,0.3786,0.3843,0.025,0.975,0.0178,0.0137,0.0133,0,0
196,0.9287,0.3882,0.3939,0.025,0.975,0.0154,0.0096,0.0096,0,0
197,0.9419,0.3981,0.4028,0.025,0.975,0.0132,0.0099,0.0089,0,0
198,0.9531,0.4129,0.4168,0.025,0.975,0.0112,0.0148,0.014,0,0
199,0.9625,0.4236,0.427,0.025,0.975,0.0094,0.0107,0.0102,0,0
200,0.9703,0.4329,0.4356,0.025,0.975,0.0078,0.0093,0.0086,0,0
201,0.9767,0.4431,0.4461,0.025,0.975,0.0064,0.0102,0.0105,0.04,0
202,0.9819,0.4557,0.4588,0.025,0.975,0.0052,0.0126,0.0127,0,0
203,0.9861,0.4669,0.4703,0.025,0.975,0.0042,0.0112,0.0115,0,0
204,0.9894,0.4779,0.4823,0.025,0.975,0.0033,0.011,0.012,0,0
205,0.992,0.4883,0.4925,0.025,0.975,0.0026,0.0104,0.0102,0,0
206,0.9941,0.4999,0.504,0.025,0.975,0.0021,0.0116,0.0115,0,0
207,0.9956,0.5108,0.5148,0.025,0.975,0.0015,0.0109,0.0108,,0.04
208,0.9968,0.5224,0.5259,0.025,0.975,0.0012,0.0116,0.0111,0,0
209,0.9977,0.5339,0.5358,0.025,0.975,0.0009,0.0115,0.0099,0,0
210,0.9983,0.5457,0.5453,0.025,0.975,0.0006,0.0118,0.0095,0,0
211,0.9988,0.5578,0.5571,0.025,0.975,0.0005,0.0121,0.0118,0,0
212,0.9992,0.5704,0.5698,0.025,0.975,0.0004,0.0126,0.0127,0,0
213,0.9994,0.5802,0.5803,0.025,0.975,0.0002,0.0098,0.0105,0,0
214,0.9996,0.5918,0.5915,0.025,0.975,0.0002,0.0116,0.0112,0,0
215,0.9997,0.6038,0.6039,0.025,0.975,1E-04,0.012,0.0124,0,0
216,0.9998,0.6151,0.6153,0.025,0.975,1E-04,0.0113,0.0114,0,0
217,0.9999,0.6255,0.6268,0.025,0.975,1E-04,0.0104,0.0115,0,0
218,0.9999,0.6376,0.6398,0.025,0.975,0,0.0121,0.013,0,0
219,0.9999,0.6527,0.6535,0.025,0.975,0,0.0151,0.0137,0,0
220,1,0.6634,0.6637,0.025,0.975,1E-04,0.0107,0.0102,0,0
221,1,0.6754,0.6739,0.025,0.975,0,0.012,0.0102,0,0
222,1,0.6919,0.6892,0.025,0.975,0,0.0165,0.0153,0,0
223,1,0.7015,0.6984,0.025,0.975,0,0.0096,0.0092,0,0
224,1,0.7136,0.7105,0.025,0.975,0,0.0121,0.0121,0,0
225,1,0.7221,0.7197,0.025,0.975,0,0.0085,0.0092,0,0
226,1,0.732,0.7296,0.025,0.975,0,0.0099,0.0099,0,0
227,1,0.7427,0.7404,0.025,0.975,0,0.0107,0.0108,0,0
228,1,0.752,0.7509,0.025,0.975,0,0.0093,0.0105,0,0
229,1,0.7613,0.7611,0.025,0.975,0,0.0093,0.0102,0,0
230,1,0.7726,0.7716,0.025,0.975,0,0.0113,0.0105,0,0
231,1,0.7819,0.7805,0.025,0.975,0,0.0093,0.0089,0,0
232,1,0.7923,0.7894,0.025,0.975,0,0.0104,0.0089,0,0
233,1,0.8033,0.7999,0.025,0.975,0,0.011,0.0105,0,0
234,1,0.8129,0.8091,0.025,0.975,0,0.0096,0.0092,0,0
235,1,0.8211,0.8183,0.025,0.975,0,0.0082,0.0092,0,0
236,1,0.8305,0.8276,0.025,0.975,0,0.0094,0.0093,0,0
237,1,0.8395,0.8361,0.025,0.975,0,0.009,0.0085,0,0
238,1,0.8469,0.8441,0.025,0.975,0,0.0074,0.008,0,0
239,1,0.854,0.8508,0.025,0.975,0,0.0071,0.0067,0,0
240,1,0.8609,0.8581,0.025,0.975,0,0.0069,0.0073,0,0
241,1,0.8672,0.8635,0.025,0.975,0,0.0063,0.0054,0,0
242,1,0.8724,0.8696,0.025,0.975,0,0.0052,0.0061,0,0
243,1,0.8785,0.8766,0.025,0.975,0,0.0061,0.007,0,0
244,1,0.8845,0.8826,0.025,0.975,0,0.006,0.006,0,0
245,1,0.8894,0.888,0.025,0.975,0,0.0049,0.0054,0,0
246,1,0.8952,0.8941,0.025,0.975,0,0.0058,0.0061,0,0
247,1,0.8988,0.8979,0.025,0.975,0,0.0036,0.0038,0,0
248,1,0.9045,0.9033,0.025,0.975,0,0.0057,0.0054,0,0
249,1,0.9089,0.9077,0.025,0.975,0,0.0044,0.0044,0,0
250,1,0.9122,0.9106,0.025,0.975,0,0.0033,0.0029,0,0
251,1,0.9163,0.915,0.025,0.975,0,0.0041,0.0044,0,0
252,1,0.9213,0.9205,0.025,0.975,0,0.005,0.0055,0,0
253,1,0.9257,0.9252,0.025,0.975,0,0.0044,0.0047,0,0
254,1,0.93,0.9297,0.025,0.975,0,0.0043,0.0045,0,0
255,1,0.9344,0.9345,0.025,0.975,0,0.0044,0.0048,0,0
256,1,0.9383,0.9383,0.025,0.975,0,0.0039,0.0038,0,0
257,1,0.9421,0.9421,0.025,0.975,0,0.0038,0.0038,0,0
258,1,0.9451,0.9453,0.025,0.975,0,0.003,0.0032,0,0
259,1,0.9476,0.9475,0.025,0.975,0,0.0025,0.0022,0,0
260,1,0.9517,0.9516,0.025,0.975,0,0.0041,0.0041,0,0
261,1,0.9558,0.9561,0.025,0.975,0,0.0041,0.0045,0,0
262,1,0.9586,0.9583,0.025,0.975,0,0.0028,0.0022,0,0
263,1,0.9624,0.9625,0.025,0.975,0,0.0038,0.0042,0,0
264,1,0.9635,0.9637,0.025,0.975,0,0.0011,0.0012,0,0
265,1,0.9663,0.9663,0.025,0.975,0,0.0028,0.0026,0,0
266,1,0.9679,0.9682,0.025,0.975,0,0.0016,0.0019,0,0
267,1,0.9701,0.9704,0.025,0.975,0,0.0022,0.0022,0,0
268,1,0.9709,0.9714,0.025,0.975,0,0.0008,0.001,0,0
269,1,0.9715,0.972,0.025,0.975,0,0.0006,0.0006,0,0
270,1,0.975,0.9752,0.025,0.975,0,0.0035,0.0032,0,0
271,1,0.9767,0.9768,0.025,0.975,0,0.0017,0.0016,0,0
272,1,0.9783,0.9784,0.025,0.975,0,0.0016,0.0016,0,0
273,1,0.9789,0.979,0.025,0.975,0,0.0006,0.0006,0,0
274,1,0.9802,0.9806,0.025,0.975,0,0.0013,0.0016,0,0
275,1,0.9811,0.9815,0.025,0.975,0,0.0009,0.0009,0,0
276,1,0.9822,0.9825,0.025,0.975,0,0.0011,0.001,0,0
277,1,0.9833,0.9835,0.025,0.975,0,0.0011,0.001,0,0
278,1,0.9841,0.9844,0.025,0.975,0,0.0008,0.0009,0,0
279,1,0.9849,0.985,0.025,0.975,0,0.0008,0.0006,0,0
280,1,0.9855,0.9854,0.025,0.975,0,0.0006,0.0004,0,0
281,1,0.9866,0.9866,0.025,0.975,0,0.0011,0.0012,0,0
282,1,0.9871,0.9873,0.025,0.975,0,0.0005,0.0007,0,0
283,1,0.9882,0.9885,0.025,0.975,0,0.0011,0.0012,0,0
284,1,0.9882,0.9885,0.025,0.975,0,0,0,0,0
285,1,0.9888,0.9892,0.025,0.975,0,0.0006,0.0007,0,0
286,1,0.9896,0.9901,0.025,0.975,0,0.0008,0.0009,0,0
287,1,0.9904,0.9911,0.025,0.975,0,0.0008,0.001,0,0
288,1,0.9909,0.9917,0.025,0.975,0,0.0005,0.0006,0,0
289,1,0.9912,0.992,0.025,0.975,0,0.0003,0.0003,0,0
290,1,0.9915,0.992,0.025,0.975,0,0.0003,0,0,0
291,1,0.9915,0.992,0.025,0.975,0,0,0,0,0
292,1,0.9923,0.9927,0.025,0.975,0,0.0008,0.0007,0,0
293,1,0.9929,0.9933,0.025,0.975,0,0.0006,0.0006,0,0
294,1,0.9934,0.994,0.025,0.975,0,0.0005,0.0007,0,0
295,1,0.994,0.9943,0.025,0.975,0,0.0006,0.0003,0,0
296,1,0.994,0.9943,0.025,0.975,0,0,0,0,0
297,1,0.994,0.9943,0.025,0.975,0,0,0,0,0
298,1,0.9945,0.9949,0.025,0.975,0,0.0005,0.0006,0,0
299,1,0.9951,0.9955,0.025,0.975,0,0.0006,0.0006,0,0
300,1,0.9951,0.9955,0.025,0.975,0,0,0,0,0
301,1,0.9953,0.9959,0.025,0.975,0,0.0002,0.0004,0,0
302,1,0.9956,0.9962,0.025,0.975,0,0.0003,0.0003,0,0
303,1,0.9962,0.9965,0.025,0.975,0,0.0006,0.0003,0,0
304,1,0.9962,0.9965,0.025,0.975,0,0,0,0,0
305,1,0.9964,0.9968,0.025,0.975,0,0.0002,0.0003,0,0
306,1,0.9964,0.9968,0.025,0.975,0,0,0,0,0
307,1,0.9967,0.9971,0.025,0.975,0,0.0003,0.0003,0,0
308,1,0.997,0.9975,0.025,0.975,0,0.0003,0.0004,0,0
309,1,0.997,0.9975,0.025,0.975,0,0,0,0,0
310,1,0.9975,0.9975,0.025,0.975,0,0.0005,0,0,0
311,1,0.9978,0.9978,0.025,0.975,0,0.0003,0.0003,0,0
312,1,0.9978,0.9978,0.025,0.975,0,0,0,0,0
313,1,0.9981,0.9981,0.025,0.975,0,0.0003,0.0003,0,0
314,1,0.9984,0.9984,0.025,0.975,0,0.0003,0.0003,0,0
315,1,0.9986,0.9987,0.025,0.975,0,0.0002,0.0003,0,0
316,1,0.9986,0.9987,0.025,0.975,0,0,0,0,0
317,1,0.9986,0.9987,0.025,0.975,0,0,0,0,0
318,1,0.9989,0.999,0.025,0.975,0,0.0003,0.0003,0,0
319,1,0.9989,0.999,0.025,0.975,0,0,0,0,0
320,1,0.9995,0.9994,0.025,0.975,0,0.0006,0.0004,0,0
321,1,0.9995,0.9994,0.025,0.975,0,0,0,0,0
322,1,0.9995,0.9994,0.025,0.975,0,0,0,0,0
323,1,0.9995,0.9994,0.025,0.975,0,0,0,0,0
324,1,0.9995,0.9994,0.025,0.975,0,0,0,0,0
325,1,0.9997,0.9997,0.025,0.975,0,0.0002,0.0003,0,0
326,1,1,1,0.025,0.975,0,0.0003,0.0003,0,0
327,1,1,1,0.025,0.975,0,0,0,0,0
328,1,1,1,0.025,0.975,0,0,0,0,0
329,1,1,1,0.025,0.975,0,0,0,0,0
330,1,1,1,0.025,0.975,0,0,0,0,0
331,1,1,1,0.025,0.975,0,0,0,0,0
332,1,1,1,0.025,0.975,0,0,0,0,0
333,1,1,1,0.025,0.975,0,0,0,0,0
334,1,1,1,0.025,0.975,0,0,0,0,0
335,1,1,1,0.025,0.975,0,0,0,0,0
336,1,1,1,0.025,0.975,0,0,0,0,0
337,1,1,1,0.025,0.975,0,0,0,0,0
338,1,1,1,0.025,0.975,0,0,0,0,0
339,1,1,1,0.025,0.975,0,0,0,0,0
340,1,1,1,0.025,0.975,0,0,0,0,0
341,1,1,1,0.025,0.975,0,0,0,0,0
342,1,1,1,0.025,0.975,0,0,0,0,0
343,1,1,1,0.025,0.975,0,0,0,0,0
344,1,1,1,0.025,0.975,0,0,0,0,0
345,1,1,1,0.025,0.975,0,0,0,0,0
346,1,1,1,0.025,0.975,0,0,0,0,0
347,1,1,1,0.025,0.975,0,0,0,0,0
348,1,1,1,0.025,0.975,0,0,0,0,0
349,1,1,1,0.025,0.975,0,0,0,0,0
350,1,1,1,0.025,0.975,0,0,0,0,0
351,1,1,1,0.025,0.975,0,0,0,0,0
352,1,1,1,0.025,0.975,0,0,0,0,0
353,1,1,1,0.025,0.975,0,0,0,0,0
354,1,1,1,0.025,0.975,0,0,0,0,0
355,1,1,1,0.025,0.975,0,0,0,0,0
356,1,1,1,0.025,0.975,0,0,0,0,0
357,1,1,1,0.025,0.975,0,0,0,0,0
358,1,1,1,0.025,0.975,0,0,0,0,0
359,1,1,1,0.025,0.975,0,0,0,0,0
360,1,1,1,0.025,0.975,0,0,0,0,0
361,1,1,1,0.025,0.975,0,0,0,0,0
362,1,1,1,0.025,0.975,0,0,0,0,0
363,1,1,1,0.025,0.975,0,0,0,0,0
364,1,1,1,0.025,0.975,0,0,0,0,0
365,1,1,1,0.025,0.975,0,0,0,0,0

